survey,series,seriesID,state
CES,"Other Services, Seasonally adjusted",SMS13000008000000001, Georgia
CES,"Government, Seasonally adjusted",SMS13000009000000001, Georgia
CES,"Total Nonfarm, Not seasonally adjusted",SMU13000000000000001, Georgia
CES,"Mining and Logging, Not seasonally adjusted",SMU13000001000000001, Georgia
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU13000001500000001, Georgia
CES,"Construction, Not seasonally adjusted",SMU13000002000000001, Georgia
CES,"Manufacturing, Not seasonally adjusted",SMU13000003000000001, Georgia
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU13000004000000001, Georgia
CES,"Information, Not seasonally adjusted",SMU13000005000000001, Georgia
CES,"Financial Activities, Not seasonally adjusted",SMU13000005500000001, Georgia
CES,"Professional and Business Services, Not seasonally adjusted",SMU13000006000000001, Georgia
CES,"Education and Health Services, Not seasonally adjusted",SMU13000006500000001, Georgia
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU13000007000000001, Georgia
CES,"Other Services, Not seasonally adjusted",SMU13000008000000001, Georgia
CES,"Government, Not seasonally adjusted",SMU13000009000000001, Georgia
CES,"Total Nonfarm, Seasonally adjusted",SMS15000000000000001, Hawaii
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS15000001500000001, Hawaii
CES,"Manufacturing, Seasonally adjusted",SMS15000003000000001, Hawaii
CES,"Trade, Transportation, and Utilities, Seasonally adjusted",SMS15000004000000001, Hawaii
CES,"Information, Seasonally adjusted",SMS15000005000000001, Hawaii
CES,"Education and Health Services, Seasonally adjusted",SMS15000006500000001, Hawaii
CES,"Leisure and Hospitality, Seasonally adjusted",SMS15000007000000001, Hawaii
CES,"Other Services, Seasonally adjusted",SMS15000008000000001, Hawaii
CES,"Government, Seasonally adjusted",SMS15000009000000001, Hawaii
CES,"Total Nonfarm, Not seasonally adjusted",SMU15000000000000001, Hawaii
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU15000001500000001, Hawaii
CES,"Manufacturing, Not seasonally adjusted",SMU15000003000000001, Hawaii
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU15000004000000001, Hawaii
CES,"Information, Not seasonally adjusted",SMU15000005000000001, Hawaii
CES,"Financial Activities, Not seasonally adjusted",SMU15000005500000001, Hawaii
CES,"Professional and Business Services, Not seasonally adjusted",SMU15000006000000001, Hawaii
CES,"Education and Health Services, Not seasonally adjusted",SMU15000006500000001, Hawaii
CES,"Leisure and Hospitality, Not seasonally adjusted",SMU15000007000000001, Hawaii
CES,"Other Services, Not seasonally adjusted",SMU15000008000000001, Hawaii
CES,"Government, Not seasonally adjusted",SMU15000009000000001, Hawaii
CES,"Total Nonfarm, Seasonally adjusted",SMS16000000000000001, Idaho
CES,"Mining and Logging, Seasonally adjusted",SMS16000001000000001, Idaho
CES,"Mining, Logging, and Construction, Seasonally adjusted",SMS16000001500000001, Idaho
CES,"Construction, Seasonally adjusted",SMS16000002000000001, Idaho
