"seriesid","series","state","survey","is_adjusted"
"SMS16000000000000001","Total Nonfarm","Idaho","CES",True
"SMS16000001000000001","Mining and Logging","Idaho","CES",True
"SMS16000001500000001","Mining, Logging, and Construction","Idaho","CES",True
"SMS16000002000000001","Construction","Idaho","CES",True
"SMS16000003000000001","Manufacturing","Idaho","CES",True
"SMS16000004000000001","Trade, Transportation, and Utilities","Idaho","CES",True
"SMS16000005500000001","Financial Activities","Idaho","CES",True
"SMS16000006000000001","Professional and Business Services","Idaho","CES",True
"SMS16000006500000001","Education and Health Services","Idaho","CES",True
"SMS16000007000000001","Leisure and Hospitality","Idaho","CES",True
"SMS16000008000000001","Other Services","Idaho","CES",True
"SMS16000009000000001","Government","Idaho","CES",True
"SMU16000000000000001","Total Nonfarm","Idaho","CES",False
"SMU16000001000000001","Mining and Logging","Idaho","CES",False
"SMU16000001500000001","Mining, Logging, and Construction","Idaho","CES",False
"SMU16000002000000001","Construction","Idaho","CES",False
"SMU16000003000000001","Manufacturing","Idaho","CES",False
"SMU16000004000000001","Trade, Transportation, and Utilities","Idaho","CES",False
"SMU16000005000000001","Information","Idaho","CES",False
"SMU16000005500000001","Financial Activities","Idaho","CES",False
"SMU16000006000000001","Professional and Business Services","Idaho","CES",False
"SMU16000006500000001","Education and Health Services","Idaho","CES",False
"SMU16000007000000001","Leisure and Hospitality","Idaho","CES",False
"SMU16000008000000001","Other Services","Idaho","CES",False
"SMU16000009000000001","Government","Idaho","CES",False
"SMS17000000000000001","Total Nonfarm","Illinois","CES",True
"SMS17000001000000001","Mining and Logging","Illinois","CES",True
"SMS17000001500000001","Mining, Logging, and Construction","Illinois","CES",True
"SMS17000002000000001","Construction","Illinois","CES",True
"SMS17000003000000001","Manufacturing","Illinois","CES",True
"SMS17000004000000001","Trade, Transportation, and Utilities","Illinois","CES",True
"SMS17000005000000001","Information","Illinois","CES",True
"SMS17000005500000001","Financial Activities","Illinois","CES",True
"SMS17000006000000001","Professional and Business Services","Illinois","CES",True
"SMS17000006500000001","Education and Health Services","Illinois","CES",True
"SMS17000007000000001","Leisure and Hospitality","Illinois","CES",True
"SMS17000008000000001","Other Services","Illinois","CES",True
"SMS17000009000000001","Government","Illinois","CES",True
"SMU17000000000000001","Total Nonfarm","Illinois","CES",False
"SMU17000001000000001","Mining and Logging","Illinois","CES",False
"SMU17000001500000001","Mining, Logging, and Construction","Illinois","CES",False
"SMU17000002000000001","Construction","Illinois","CES",False
"SMU17000003000000001","Manufacturing","Illinois","CES",False
"SMU17000004000000001","Trade, Transportation, and Utilities","Illinois","CES",False
"SMU17000005000000001","Information","Illinois","CES",False
"SMU17000005500000001","Financial Activities","Illinois","CES",False
"SMU17000006000000001","Professional and Business Services","Illinois","CES",False
"SMU17000006500000001","Education and Health Services","Illinois","CES",False
"SMU17000007000000001","Leisure and Hospitality","Illinois","CES",False
"SMU17000008000000001","Other Services","Illinois","CES",False
"SMU17000009000000001","Government","Illinois","CES",False
"SMS18000000000000001","Total Nonfarm","Indiana","CES",True
"SMS18000001000000001","Mining and Logging","Indiana","CES",True
"SMS18000001500000001","Mining, Logging, and Construction","Indiana","CES",True
"SMS18000002000000001","Construction","Indiana","CES",True
"SMS18000003000000001","Manufacturing","Indiana","CES",True
"SMS18000004000000001","Trade, Transportation, and Utilities","Indiana","CES",True
"SMS18000005000000001","Information","Indiana","CES",True
"SMS18000005500000001","Financial Activities","Indiana","CES",True
"SMS18000006000000001","Professional and Business Services","Indiana","CES",True
"SMS18000006500000001","Education and Health Services","Indiana","CES",True
"SMS18000007000000001","Leisure and Hospitality","Indiana","CES",True
"SMS18000008000000001","Other Services","Indiana","CES",True
"SMS18000009000000001","Government","Indiana","CES",True
"SMU18000000000000001","Total Nonfarm","Indiana","CES",False
"SMU18000001000000001","Mining and Logging","Indiana","CES",False
"SMU18000001500000001","Mining, Logging, and Construction","Indiana","CES",False
"SMU18000002000000001","Construction","Indiana","CES",False
"SMU18000003000000001","Manufacturing","Indiana","CES",False
"SMU18000004000000001","Trade, Transportation, and Utilities","Indiana","CES",False
"SMU18000005000000001","Information","Indiana","CES",False
"SMU18000005500000001","Financial Activities","Indiana","CES",False
"SMU18000006000000001","Professional and Business Services","Indiana","CES",False
"SMU18000006500000001","Education and Health Services","Indiana","CES",False
"SMU18000007000000001","Leisure and Hospitality","Indiana","CES",False
"SMU18000008000000001","Other Services","Indiana","CES",False
"SMU18000009000000001","Government","Indiana","CES",False
"SMS19000000000000001","Total Nonfarm","Iowa","CES",True
